Label,Symptoms
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,"changes in the size, shape, or color of moles, waxy or scar-like areas, flat or sunken lesions, shiny bumps, pink growths, open sores, red patches, Scaly or crusty growths, bleeding or scabbing, raised red spots"
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,"changes in the size, shape, or color of moles, waxy or scar-like areas, pink growths, raised red spots, open sores, flat or sunken lesions, bleeding or scabbing, Scaly or crusty growths, shiny bumps, red patches"
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,"bleeding or scabbing, open sores, pink growths, changes in the size, shape, or color of moles, red patches, flat or sunken lesions, shiny bumps, raised red spots, waxy or scar-like areas, Scaly or crusty growths"
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,"flat or sunken lesions, raised red spots, red patches, shiny bumps, bleeding or scabbing, pink growths, Scaly or crusty growths, open sores, changes in the size, shape, or color of moles, waxy or scar-like areas"
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,"open sores, red patches, flat or sunken lesions, waxy or scar-like areas, bleeding or scabbing, pink growths, changes in the size, shape, or color of moles, Scaly or crusty growths, shiny bumps, raised red spots"
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,"flat or sunken lesions, red patches, waxy or scar-like areas, bleeding or scabbing, changes in the size, shape, or color of moles, open sores, shiny bumps, pink growths, Scaly or crusty growths, raised red spots"
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,"bleeding or scabbing, pink growths, raised red spots, flat or sunken lesions, red patches, shiny bumps, open sores, waxy or scar-like areas, Scaly or crusty growths, changes in the size, shape, or color of moles"
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,"flat or sunken lesions, raised red spots, Scaly or crusty growths, shiny bumps, waxy or scar-like areas, changes in the size, shape, or color of moles, open sores, pink growths, red patches, bleeding or scabbing"
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,"red patches, Scaly or crusty growths, flat or sunken lesions, bleeding or scabbing, raised red spots, changes in the size, shape, or color of moles, shiny bumps, open sores, waxy or scar-like areas, pink growths"
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,"shiny bumps, raised red spots, open sores, bleeding or scabbing, pink growths, changes in the size, shape, or color of moles, flat or sunken lesions, Scaly or crusty growths, red patches, waxy or scar-like areas"
